theme;SimilarElement;element;Datentyp;Kardinalitaet;Beschreibung;Equid;Cattle;Pig;Sheep ;Goat;Poultry;beschreibung_thema;Pascal_Bemerkung;proposedDatatype
Aufenthalt;NotificationState;NotificationState;TranslatedEnumTyp eOfEnumEquidNotif icationState;0..1 N;Status Fehlende Meldung des Equiden.;x;;;;;;;;eCH-0261:enumeratedItemType
Aufenthalt;PendulumHusbandry;PendulumHusbandry;xs:int;1 N;Pendeltierhaltung;;x;;;;;;Int? Anzahl der Pendeltierhaltungen? Ja/Nein? enum?;xs:int
Aufenthalt;AllYearHusbandry;AllYearHusbandry;xs:int;1 N;Aktuelle Ganzjahrestierhaltung;;x;;x;x;;;Int? Bool(Ja/Nein?)  oder enum/code?;xs:boolean
Aufenthalt;LeavingDate;LeavingDate;TimeDate;0..1 N;Abgangdatum auf abgefragtem Betrieb;x;;;;;;;;xs:dateTime
Aufenthalt;OriginTVDNumber;OriginTVDNumber;Int;0..1 N;TVD-Nummer des Herkunftsbetriebs;x;;;;;;;eCH-0261:identifierType;eCH-0261:identifierType
Aufenthalt;ArrivalDate;ArrivalDate;TimeDate;0..1 N;Zugangsdatum auf abgefragten Betrieb;x;;;;;;;;xs:dateTime
Aufenthalt;Husbandry;Husbandry;HusbandryResult;0..1 N;Angaben zum aktuellen Standort;x;;;;;;;UID? String? enum?;xs:string
Aufenthalt;CurrentHusbandry;CurrentHusbandry;xs:int;1 N;Aktuelle Tierhaltung;;x;;x;x;;;Int? Bool(Ja/Nein?)  oder enum/code?;eCH-0261:enumeratedItemType
Aufenthalt;HistoryState. GoatHistoryState;CattleHistoryState;xs:int;1;Befund der Tiergeschichte;;x;;;x;;;Int? Bool(Ja/Nein?)  oder enum/code?;eCH-0261:enumeratedItemType
Grunddaten;HasWhiteOnHead;HasWhiteOnHead;Boolean;1;Hat weisse Abzeichen am Kopf;x;;;;;;;;xs:boolean
Grunddaten;HasWhiteOnLegBackLeft;HasWhiteOnLegBackLeft;Boolean;1;Hat weisse Abzeichen am hinteren linken Bein;x;;;;;;;;xs:boolean
Grunddaten;HasWhiteOnLegBackRig ht;HasWhiteOnLegBackRig ht;Boolean;1;Hat weisse Abzeichen am hinteren rechten Bein;x;;;;;;;;xs:boolean
Grunddaten;HasWhiteOnLegFrontLeft;HasWhiteOnLegFrontLeft;Boolean;1;Hat weisse Abzeichen am vorderen linken Bein;x;;;;;;;;xs:boolean
Grunddaten;HasWhiteOnLegFrontRig ht;HasWhiteOnLegFrontRig ht;Boolean;1;Hat weisse Abzeichen am vorderen rechten Bein;x;;;;;;;;xs:boolean
Grunddaten;RaceColor;RaceColor;xs:int;1;Rassenfarbe;x;x;;;;;;Int? Bool(Ja/Nein?)  oder enum/code?;eCH-0261:enumeratedItemType
Grunddaten;ColorFreeText;ColorFreeText;String;0..1 N;Farbe des Equiden;x;;;;;;;;xs:string
Grunddaten;WithersClass;WithersClass;TranslatedEnumTyp eOfEnumEquidWith ersClass;0..1 N;Widerristhoehe;x;;;;;;;;eCH-0261:enumeratedItemType
Grunddaten;IsCastrated;IsCastrated;boolean;1 N;true: Tier wurde kastriert Standardwert = false;;x;;;;;;;xs:boolean
Grunddaten;Gender;sex;string;0..1 N;Geschlecht;x;x;;x;x;;;String? -> male/female. gibt es anderes relevantes Geschlecht?;eCH-0261:enumeratedItemType
Grunddaten;SportBreedingName;SportBreedingName;string;1 N;Sport- oder Zuchtname;x;;;;;;;;xs:string
Grunddaten;DeathBirthTime;DeathTime;xs:int;1;Zeitpunkt des Todes;;x;;;;;;geaendert von DeathBirthTime zu DeathTime. Oder soll hier auf eine Totgeburt hingewiesen werden? unnoetig: birthTime und deathTime als xs:dateTime koennen auch identisch sein. Oder ist es relevant anzugeben, dass ein embryo x-tage vor Geburt verstorben ist? ausserdem gibt es stillbirth;xs:dateTime
Grunddaten;birthWeight. BirthWeight. slaughterWeight;weight;;0;Gewichtsmessung in Kg;;;;;;;;;xs:decimal
Grunddaten;PlaceOfBirth;PlaceOfBirth;String;1 N;Geburtsort;x;;;;;;;string? Sind die Geburtsorte in der Schweiz: enum (z.B. bfs-nr fuer gemeinde-Ebene eCH-0007:municipalityIdType oder BUR) ?;xs:string
Grunddaten;BirthNotificationData;BirthNotificationData;;1;unbekannt;;x;;x;x;;;string?;xs:string
Grunddaten;BirthWeight. BirthWeight (Goat: xs:decimal);BirthWeight;xs:int;1 N;Geburtsgewicht in kg;;x;;;;;;streichen;xs:decimal
Grunddaten;BirthDate;BirthDate;TimeDate;0..1 N;Geburtsdatum;x;x;;x;x;;;;xs:dateTime
Grunddaten;Breed;Breed;String;0..1 N;Rasse;x;x;;x;x;;;gibt es keine enum fuer Pferde (urspruenglich string...)?;eCH-0261:enumeratedItemType
Grunddaten;Gattung;genus;eCH-0261:enumeratedItemType;;Gattung;;;;;;;;zusaetzlich eingefuegt. da equidSpecies die Beschreibung Gattung hatte...;eCH-0261:enumeratedItemType
Grunddaten;EquidSpecies;species;TranslatedEnumTyp eOfEnumEquidSpe cies;1 N;Spezies / Art;x;;;;;;;;eCH-0261:enumeratedItemType
Grunddaten;ChipNumber;ChipNumber;String;1 N;Chipnummer;x;;;;;;;eCH-0261:identifierType -> inkl quellsystem;eCH-0261:identifierType
Grunddaten;Name;Name;String;0..1 N;Name des Equiden, Kalb, Ziege;x;x;;x;x;;;;xs:string
