theme;SimilarElement;element;Datentyp;Kardinalitaet;Beschreibung;Equid;Cattle;Pig;Sheep ;Goat;Poultry;beschreibung_thema;Pascal_Bemerkung;proposedDatatype
stayData;NotificationState;notificationState;TranslatedEnumTyp eOfEnumEquidNotif icationState;0..1 N;Status Fehlende Meldung des Equiden.;x;;;;;;;;eCH-0261:enumeratedItemType
stayData;PendulumHusbandry;pendulumHusbandry;xs:int;1 N;Pendeltierhaltung;;x;;;;;;Int? Anzahl der Pendeltierhaltungen? Ja/Nein? enum?;xs:int
stayData;AllYearHusbandry;allYearHusbandry;xs:int;1 N;Aktuelle Ganzjahrestierhaltung;;x;;x;x;;;Int? Bool(Ja/Nein?)  oder enum/code?;xs:boolean
stayData;LeavingDate;leavingDate;TimeDate;0..1 N;Abgangdatum auf abgefragtem Betrieb;x;;;;;;;;xs:dateTime
stayData;OriginTVDNumber;originTVDNumber;Int;0..1 N;TVD-Nummer des Herkunftsbetriebs;x;;;;;;;eCH-0261:identifierType;eCH-0261:identifierType
stayData;ArrivalDate;arrivalDate;TimeDate;0..1 N;Zugangsdatum auf abgefragten Betrieb;x;;;;;;;;xs:dateTime
stayData;Husbandry;husbandry;HusbandryResult;0..1 N;Angaben zum aktuellen Standort;x;;;;;;;UID? String? enum?;xs:string
stayData;CurrentHusbandry;currentHusbandry;xs:int;1 N;Aktuelle Tierhaltung;;x;;x;x;;;Int? Bool(Ja/Nein?)  oder enum/code?;eCH-0261:enumeratedItemType
stayData;HistoryState. GoatHistoryState;cattleHistoryState;xs:int;1;Befund der Tiergeschichte;;x;;;x;;;Int? Bool(Ja/Nein?)  oder enum/code?;eCH-0261:enumeratedItemType
identificationData;HasWhiteOnHead;hasWhiteOnHead;Boolean;1;Hat weisse Abzeichen am Kopf;x;;;;;;;;xs:boolean
identificationData;HasWhiteOnLegBackLeft;hasWhiteOnLegBackLeft;Boolean;1;Hat weisse Abzeichen am hinteren linken Bein;x;;;;;;;;xs:boolean
identificationData;HasWhiteOnLegBackRig ht;hasWhiteOnLegBackRight;Boolean;1;Hat weisse Abzeichen am hinteren rechten Bein;x;;;;;;;;xs:boolean
identificationData;HasWhiteOnLegFrontLeft;hasWhiteOnLegFrontLeft;Boolean;1;Hat weisse Abzeichen am vorderen linken Bein;x;;;;;;;;xs:boolean
identificationData;HasWhiteOnLegFrontRig ht;hasWhiteOnLegFrontRight;Boolean;1;Hat weisse Abzeichen am vorderen rechten Bein;x;;;;;;;;xs:boolean
identificationData;RaceColor;raceColor;xs:int;1;Rassenfarbe;x;x;;;;;;Int? Bool(Ja/Nein?)  oder enum/code?;eCH-0261:enumeratedItemType
identificationData;ColorFreeText;colorFreeText;String;0..1 N;Farbe des Equiden;x;;;;;;;;xs:string
identificationData;WithersClass;withersClass;TranslatedEnumTyp eOfEnumEquidWith ersClass;0..1 N;Widerristhoehe;x;;;;;;;;eCH-0261:enumeratedItemType
identificationData;IsCastrated;isCastrated;boolean;1 N;true: Tier wurde kastriert Standardwert = false;;x;;;;;;;xs:boolean
identificationData;Gender;sex;string;0..1 N;Geschlecht;x;x;;x;x;;;String? -> male/female. gibt es anderes relevantes Geschlecht?;eCH-0261:enumeratedItemType
identificationData;SportBreedingName;sportBreedingName;string;1 N;Sport- oder Zuchtname;x;;;;;;;;xs:string
identificationData;DeathBirthTime;deathTime;xs:int;1;Zeitpunkt des Todes;;x;;;;;;geaendert von DeathBirthTime zu DeathTime. Oder soll hier auf eine Totgeburt hingewiesen werden? unnoetig: birthTime und deathTime als xs:dateTime koennen auch identisch sein. Oder ist es relevant anzugeben, dass ein embryo x-tage vor Geburt verstorben ist? ausserdem gibt es stillbirth;xs:dateTime
identificationData;birthWeight. BirthWeight. slaughterWeight;weight;;0;Gewichtsmessung in Kg;;;;;;;;;xs:decimal
identificationData;PlaceOfBirth;placeOfBirth;String;1 N;Geburtsort;x;;;;;;;string? Sind die Geburtsorte in der Schweiz: enum (z.B. bfs-nr fuer gemeinde-Ebene eCH-0007:municipalityIdType oder BUR) ?;xs:string
identificationData;BirthNotificationData;birthNotificationData;;1;unbekannt;;x;;x;x;;;string?;xs:string
identificationData;BirthWeight. BirthWeight (Goat: xs:decimal);birthWeight;xs:int;1 N;Geburtsgewicht in kg;;x;;;;;;streichen;xs:decimal
